,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
34,VNO-PM,Vornado Realty Trust,24.66,+0.16,+0.65%,"134,023","30,486",13.881B,14.58
35,VNO-PL,Vornado Realty Trust,25.02,+0.11,+0.44%,"27,145","20,407",13.824B,14.80
36,BXP,"Boston Properties, Inc.",86.43,+0.19,+0.22%,1.389M,1.637M,13.451B,13.25
37,EXR,Extra Space Storage Inc.,104.21,+1.18,+1.15%,"595,316","903,984",13.45B,31.44
38,NLY-PD,"Annaly Capital Management, Inc.",25.33,+0.03,+0.12%,"28,942","59,422",13.298B,N/A
39,MAA,"Mid-America Apartment Communities, Inc.",114.86,-0.83,-0.72%,"646,567","663,215",13.136B,39.07
40,WPC,W. P. Carey Inc.,70.85,-0.77,-1.08%,"498,257",1.192M,12.321B,35.84
41,VICI,VICI Properties Inc.,22.93,-0.09,-0.39%,2.836M,5.457M,12.237B,24.29
42,NLY-PF,"Annaly Capital Management, Inc.",23.20,+0.21,+0.91%,"31,957","103,632",12.099B,N/A
43,ELS,"Equity LifeStyle Properties, Inc.",65.42,+0.24,+0.37%,"423,902","980,115",11.917B,51.23
44,NLY-PG,"Annaly Capital Management, Inc.",21.79,+0.20,+0.93%,"26,392","60,833",11.826B,N/A
45,BPY,Brookfield Property Partners L.P.,12.04,+0.02,+0.17%,1.137M,2.509M,11.143B,N/A
46,FRT-PC,Federal Realty Investment Trust,26.10,-0.05,-0.19%,"10,174","20,348",10.601B,7.30
47,NLY,"Annaly Capital Management, Inc.",7.51,+0.05,+0.67%,8.014M,19.468M,10.535B,N/A
48,UDR,"UDR, Inc.",35.02,+0.31,+0.89%,2.543M,1.878M,10.333B,56.03
49,MPW,"Medical Properties Trust, Inc.",19.18,+0.11,+0.58%,2.688M,3.442M,10.143B,23.45
50,CONE,CyrusOne Inc.,82.02,+0.09,+0.11%,"472,595",1.058M,9.586B,485.33
51,VER-PF,"VEREIT, Inc.",25.38,-0.12,-0.47%,"11,234","47,704",9.505B,N/A
52,AMH-PH,American Homes 4 Rent,27.23,-0.26,-0.94%,"4,165","8,325",9.362B,99.38
53,AMH-PF,American Homes 4 Rent,26.57,0.00,0.00%,"27,498","10,110",9.287B,96.97
54,NNN-PF,"National Retail Properties, Inc.",25.32,+0.09,+0.36%,"33,877","46,190",9.113B,19.66
55,AMH-PG,American Homes 4 Rent,26.17,-0.10,-0.40%,"7,565","9,856",9.054B,95.49
56,MGP,MGM Growth Properties LLC,28.72,+0.12,+0.42%,"499,554",1.334M,8.716B,84.97
57,AMH-PE,American Homes 4 Rent,25.76,0.00,0.00%,"55,142","19,304",8.637B,94.01
58,AMH-PD,American Homes 4 Rent,25.76,-0.05,-0.19%,"6,587","18,029",8.611B,94.01
59,CPT,Camden Property Trust,88.18,+0.24,+0.27%,"378,190","772,544",8.588B,44.20
60,IRM,Iron Mountain Incorporated,29.74,+0.38,+1.29%,1.998M,3.366M,8.57B,42.30
61,AMH,American Homes 4 Rent,28.10,-0.40,-1.40%,1.127M,1.912M,8.465B,102.55
62,KIM-PM,Kimco Realty Corporation,25.31,-0.02,-0.08%,"16,148","26,621",8.315B,11.14
63,AGNCN,AGNC Investment Corp.,24.21,0.00,0.00%,"19,412","54,668",8.315B,N/A
64,AGNCM,AGNC Investment Corp.,23.25,+0.10,+0.43%,"17,740","32,266",8.265B,N/A
65,GLPI,"Gaming and Leisure Properties, Inc.",37.44,-0.16,-0.43%,"759,384",1.682M,8.156B,19.53
66,KIM-PL,Kimco Realty Corporation,24.73,+0.13,+0.53%,"53,144","28,006",8.074B,10.89
67,HST,"Host Hotels & Resorts, Inc.",11.25,-0.02,-0.18%,6.095M,13.22M,7.934B,86.54
68,AGNC,AGNC Investment Corp.,13.88,+0.16,+1.17%,5.408M,9.299M,7.711B,N/A
69,COLD,Americold Realty Trust,38.06,-0.66,-1.70%,"508,863",1.68M,7.75B,74.63
70,SLG-PI,SL Green Realty Corp.,25.85,+0.10,+0.37%,"2,267","17,163",7.506B,9.25
71,REG,Regency Centers Corporation,42.88,+0.39,+0.92%,"921,944",1.297M,7.275B,79.70
72,VER,"VEREIT, Inc.",6.71,+0.03,+0.45%,9.147M,12.705M,7.233B,N/A
73,OHI,"Omega Healthcare Investors, Inc.",31.17,-0.68,-2.14%,2.453M,2.21M,7.075B,18.07
74,LAMR,Lamar Advertising Company (REIT),68.05,+0.19,+0.28%,"405,544","795,511",6.86B,24.96
75,VNO,Vornado Realty Trust,35.58,+0.20,+0.57%,1.509M,2.369M,6.801B,21.04
76,KRC,Kilroy Realty Corporation,58.13,+0.31,+0.54%,"538,023","928,650",6.695B,36.58
77,PSB-PY,"PS Business Parks, Inc.",26.43,-0.02,-0.08%,"25,504","16,368",6.527B,6.02
78,PSB-PW,"PS Business Parks, Inc.",26.14,0.00,0.00%,"11,575","14,534",6.412B,5.95
79,STOR,STORE Capital Corporation,25.26,-0.11,-0.43%,1.277M,3.524M,6.402B,22.12
80,PSB-PX,"PS Business Parks, Inc.",26.32,-0.04,-0.15%,"11,434","27,301",6.398B,6.00
81,NNN,"National Retail Properties, Inc.",35.80,-0.25,-0.69%,"897,596",1.763M,6.213B,27.80
82,FRT,Federal Realty Investment Trust,81.88,-0.33,-0.40%,"297,509","798,950",6.193B,22.91
83,CUBE,CubeSmart,30.96,+0.48,+1.57%,1.143M,1.326M,5.998B,37.76
84,SHO-PE,"Sunstone Hotel Investors, Inc. RED PFD SER E",24.11,+0.04,+0.17%,"1,813","9,927",5.428B,50.97
85,REXR,"Rexford Industrial Realty, Inc.",45.77,-0.73,-1.57%,"537,233",1.705M,5.666B,100.59
86,HTA,"Healthcare Trust of America, Inc.",25.70,-0.17,-0.66%,1.033M,1.935M,5.617B,178.47
87,AIV,Apartment Investment and Management Company,36.61,+0.39,+1.08%,"749,881",1.131M,5.45B,30.08
88,FR,"First Industrial Realty Trust, Inc.",42.08,-0.49,-1.15%,"624,550",1.551M,5.353B,21.27
89,EGP,"EastGroup Properties, Inc.",133.20,-1.81,-1.34%,"255,288","270,582",5.239B,43.35
90,COR,CoreSite Realty Corporation,122.41,-0.09,-0.07%,"171,756","410,855",5.206B,62.11
91,JLL,Jones Lang LaSalle Incorporated,100.35,+1.44,+1.46%,"245,441","383,266",5.196B,12.40
92,KIM,Kimco Realty Corporation,11.98,-0.03,-0.25%,4.376M,7.083M,5.181B,5.28
93,DEI,"Douglas Emmett, Inc.",28.86,-0.09,-0.31%,"687,668",1.242M,5.061B,15.42
94,FSV,FirstService Corporation,112.94,-2.61,-2.26%,"119,500","62,177",4.9B,80.96
95,STAG,"STAG Industrial, Inc.",32.60,-0.36,-1.09%,"393,330",1.281M,4.862B,43.18
96,LSI,"Life Storage, Inc.",102.03,+1.05,+1.04%,"339,606","346,258",4.787B,18.57
97,ACC,"American Campus Communities, Inc.",33.89,-0.03,-0.09%,"782,932",1.382M,4.664B,42.36
98,CUZ,Cousins Properties Incorporated,31.36,-0.24,-0.76%,"946,288",1.109M,4.659B,13.82
99,STWD,"Starwood Property Trust, Inc.",16.25,+0.19,+1.18%,1.426M,3.469M,4.622B,12.03
100,EPR-PG,EPR Properties,18.66,-0.04,-0.21%,"7,860","23,227",4.397B,71.77
101,EQC-PD,Equity Commonwealth,28.99,+0.05,+0.17%,"1,060","4,234",4.302B,7.45
102,RDFN,Redfin Corporation,43.22,-0.32,-0.73%,"769,280",1.47M,4.299B,N/A
103,REXR-PB,"Rexford Industrial Realty, Inc.",25.66,0.00,0.00%,4,"11,243",4.326B,56.40
104,REXR-PA,"Rexford Industrial Realty, Inc.",25.62,+0.07,+0.25%,300,"10,177",4.267B,56.32
105,QTS,"QTS Realty Trust, Inc.",67.18,-0.60,-0.89%,"341,485","800,392",4.127B,N/A
106,SRC-PA,"Spirit Realty Capital, Inc.",25.60,+0.13,+0.51%,"7,198","16,615",4.003B,43.17
107,TRNO,Terreno Realty Corporation,58.41,-0.53,-0.90%,"158,237","460,965",3.991B,54.03
108,HIW,"Highwoods Properties, Inc.",38.04,-0.04,-0.11%,"520,625","916,600",3.952B,12.73
109,QTS-PB,"QTS Realty Trust, Inc.",150.15,-2.79,-1.82%,"3,430","14,397",3.878B,N/A
110,RYN,Rayonier Inc.,27.86,-0.10,-0.36%,"270,154","628,380",3.803B,63.75
111,HR,Healthcare Realty Trust Incorporated,27.63,+0.12,+0.44%,"819,417",1.223M,3.759B,34.03
112,STAG-PC,"STAG Industrial, Inc.",26.21,-0.13,-0.49%,"1,500","5,058",3.75B,34.72
113,EQC,Equity Commonwealth,30.53,-0.01,-0.03%,"362,156","805,992",3.71B,7.84
114,JBGS,JBG SMITH Properties,27.65,+0.05,+0.18%,"478,798","512,063",3.699B,78.11
115,BRX,Brixmor Property Group Inc.,12.43,+0.10,+0.81%,1.582M,3.133M,3.685B,17.53
116,SRC,"Spirit Realty Capital, Inc.",35.78,-0.17,-0.47%,"351,858",1.083M,3.687B,60.34
117,DOC,Physicians Realty Trust,18.20,-0.03,-0.16%,"791,462",2.965M,3.788B,40.53
118,TWO-PC,Two Harbors Investment Corp.,21.10,+0.29,+1.39%,"8,986","54,832",3.177B,5.78
119,HPP,"Hudson Pacific Properties, Inc.",23.59,+0.02,+0.08%,"955,240",2.167M,3.618B,42.74
120,ADC,Agree Realty Corporation,66.76,+1.05,+1.60%,"316,181","654,952",3.595B,34.36
121,PSB,"PS Business Parks, Inc.",130.89,-3.52,-2.62%,"183,409","135,553",3.597B,29.82
122,BXMT,"Blackstone Mortgage Trust, Inc.",24.45,+0.14,+0.58%,"459,927",1.565M,3.575B,28.14
123,SLG,SL Green Realty Corp.,47.38,-0.69,-1.44%,1.411M,1.807M,3.471B,16.95
124,NRZ,New Residential Investment Corp.,8.17,+0.21,+2.64%,2.7M,7.265M,3.397B,N/A
125,GRP-UN,Granite Real Estate Investment Trust,57.51,+0.20,+0.35%,"2,010","4,390",3.328B,5.71
126,TCO-PJ,"Taubman Centers, Inc.",22.34,-0.18,-0.80%,"6,087","31,327",3.289B,8.14
127,TCO-PK,"Taubman Centers, Inc.",22.27,-0.04,-0.18%,"1,501","32,833",3.268B,8.11
128,LXP,Lexington Realty Trust,11.56,-0.03,-0.26%,"909,452",2.18M,3.2B,11.21
129,PEB-PC,Pebblebrook Hotel Trust,21.88,+0.25,+1.16%,"19,857","9,208",3.203B,N/A
130,CIM-PA,Chimera Investment Corporation,22.72,-0.24,-1.05%,"6,519","25,525",3.142B,N/A
131,HHC,The Howard Hughes Corporation,57.39,+0.39,+0.68%,"161,178","594,277",3.154B,N/A
132,SBRA,"Sabra Health Care REIT, Inc.",14.89,-0.02,-0.13%,"886,517",1.776M,3.061B,23.34
133,QTS-PA,"QTS Realty Trust, Inc.",27.53,-0.13,-0.47%,507,"9,644",3.053B,N/A
134,PCH,PotlatchDeltic Corporation,45.28,-0.24,-0.53%,"304,538","467,444",3.028B,172.82
135,TWO-PB,Two Harbors Investment Corp.,22.08,+0.30,+1.38%,"13,864","53,638",2.989B,N/A
136,CIM-PB,Chimera Investment Corporation,21.39,+0.05,+0.23%,"12,447","67,701",2.972B,N/A
137,TWO-PA,Two Harbors Investment Corp.,22.70,-0.02,-0.09%,"7,404","33,266",2.944B,N/A
138,CIM-PD,Chimera Investment Corporation,21.05,+0.31,+1.49%,"6,378","35,836",2.949B,N/A
139,CIM-PC,Chimera Investment Corporation,20.58,+0.05,+0.27%,"6,931","34,602",2.925B,N/A
140,PEB-PD,Pebblebrook Hotel Trust,20.80,+0.34,+1.66%,"2,612","5,629",2.925B,N/A
141,NHI,"National Health Investors, Inc.",63.82,-0.18,-0.28%,"134,856","323,826",2.85B,14.91
142,OFC,Corporate Office Properties Trust,25.41,+0.16,+0.63%,"658,899","701,274",2.851B,25.88
143,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",38.61,+0.20,+0.52%,"385,990","753,573",2.875B,29.23
144,MFA-PB,"MFA Financial, Inc.",21.54,+0.21,+0.98%,"23,214","39,412",2.787B,N/A
145,RLJ-PA,RLJ Lodging Trust,24.09,-0.11,-0.45%,"32,981","45,580",2.766B,N/A
146,SAFE,Safehold Inc.,53.69,+0.35,+0.66%,"118,138","164,469",2.744B,52.03
147,NSA-PA,National Storage Affiliates Trust,26.80,-0.12,-0.45%,"57,661","13,761",2.704B,212.70
148,CLNY-PH,"Colony Capital, Inc.",22.11,+0.40,+1.83%,"22,171","35,906",2.645B,N/A
149,CLNY-PJ,"Colony Capital, Inc.",21.76,+0.34,+1.59%,"17,366","54,437",2.59B,N/A
150,IIPR,"Innovative Industrial Properties, Inc.",119.91,+1.03,+0.87%,"256,759","425,501",2.602B,42.76
151,CLNY-PG,"Colony Capital, Inc.",22.34,+0.11,+0.49%,"6,301","19,352",2.583B,N/A
152,CLNY-PI,"Colony Capital, Inc.",21.88,+0.22,+1.02%,"13,699","67,430",2.544B,N/A
153,CIGI,Colliers International Group Inc.,62.23,-1.58,-2.48%,"72,641","119,892",2.489B,34.55
154,CWK,Cushman & Wakefield plc,11.25,+0.05,+0.45%,"436,461","893,211",2.482B,N/A
155,EPR,EPR Properties,32.65,-0.20,-0.61%,"662,795",1.323M,2.436B,125.58
156,WRI,Weingarten Realty Investors,18.93,+0.38,+2.05%,1.63M,1.249M,2.425B,9.90
157,TCO,"Taubman Centers, Inc.",38.33,+0.09,+0.24%,"839,935",1.477M,2.366B,13.96
158,SITC-PK,SITE Centers Corp.,24.43,0.00,0.00%,408,"8,710",2.324B,106.22
159,LXP-PC,Lexington Realty Trust,54.53,-0.04,-0.07%,"3,605","1,115",2.338B,52.89
160,SITC-PA,SITE Centers Corp.,24.45,+0.14,+0.58%,"1,659","29,943",2.315B,106.30
161,OUT,Outfront Media Inc. (REIT),15.61,+0.26,+1.69%,1.239M,2.137M,2.254B,89.20
162,NSA,National Storage Affiliates Trust,32.80,+0.24,+0.74%,"261,561","447,865",2.256B,260.32
163,PK,Park Hotels & Resorts Inc.,9.46,+0.15,+1.61%,4.224M,8.246M,2.229B,N/A
164,APLE,"Apple Hospitality REIT, Inc.",9.81,-0.06,-0.61%,1.554M,2.624M,2.19B,N/A
165,KW,"Kennedy-Wilson Holdings, Inc.",14.77,-0.08,-0.54%,"494,963","497,558",2.119B,16.65
166,RHP,"Ryman Hospitality Properties, Inc.",37.39,+0.69,+1.88%,"304,855","868,742",2.056B,N/A
167,CIM,Chimera Investment Corporation,8.83,+0.18,+2.08%,1.745M,5.04M,2.049B,N/A
168,PDM,"Piedmont Office Realty Trust, Inc.",16.17,-0.10,-0.61%,"517,799","832,192",2.038B,5.48
169,BDN,Brandywine Realty Trust,11.25,+0.01,+0.09%,"680,372",3.098M,1.919B,55.97
170,DEA,"Easterly Government Properties, Inc.",23.77,-0.09,-0.38%,"800,192","794,966",1.894B,252.87
171,ESRT,"Empire State Realty Trust, Inc.",6.51,-0.06,-0.91%,1.28M,2.952M,1.89B,47.87
172,IVR-PA,Invesco Mortgage Capital Inc.,22.95,-0.11,-0.48%,"6,612","29,320",1.863B,N/A
173,WRE,Washington Real Estate Investment Trust,22.54,-0.23,-1.01%,"202,152","450,100",1.856B,4.82
174,UNIT,Uniti Group Inc.,9.69,-0.06,-0.62%,1.551M,1.91M,1.881B,N/A
175,CTRE,"CareTrust REIT, Inc.",18.81,-0.02,-0.11%,"385,608","906,244",1.801B,37.17
176,PMT,PennyMac Mortgage Investment Trust,17.97,+0.15,+0.84%,"590,661",1.553M,1.784B,N/A
177,SHO,"Sunstone Hotel Investors, Inc.",8.31,-0.07,-0.84%,1.569M,3.664M,1.792B,N/A
178,FCPT,"Four Corners Property Trust, Inc.",24.81,-0.01,-0.04%,"228,498","642,466",1.745B,22.97
179,IVR-PC,Invesco Mortgage Capital Inc.,21.40,-0.18,-0.83%,"15,916","75,723",1.732B,N/A
180,IVR-PB,Invesco Mortgage Capital Inc.,21.40,-0.08,-0.37%,"11,921","26,411",1.728B,N/A
181,GNL-PA,"Global Net Lease, Inc.",25.67,-0.06,-0.23%,"14,069","18,466",1.667B,111.61
182,BFS-PD,"Saul Centers, Inc.",24.42,0.00,0.00%,"1,404","3,040",1.661B,18.08
183,AAT,"American Assets Trust, Inc.",27.16,-0.18,-0.66%,"144,946","378,060",1.632B,35.69
184,EPRT,"Essential Properties Realty Trust, Inc.",17.50,-0.22,-1.24%,"351,026",1.12M,1.628B,28.50
185,PGRE,"Paramount Group, Inc.",7.29,-0.02,-0.27%,1.535M,1.913M,1.617B,N/A
186,RLJ,RLJ Lodging Trust,9.67,+0.08,+0.83%,1.137M,2.403M,1.596B,N/A
187,PMT-PA,PennyMac Mortgage Investment Trust,24.97,+0.07,+0.30%,"5,028","13,756",1.587B,N/A
188,GNL,"Global Net Lease, Inc.",17.63,-0.10,-0.56%,"263,113","572,892",1.578B,76.65
189,PMT-PB,PennyMac Mortgage Investment Trust,24.58,+0.06,+0.24%,"20,867","20,235",1.571B,N/A
190,PEB,Pebblebrook Hotel Trust,11.93,+0.13,+1.10%,"827,502",2.872M,1.561B,N/A
191,SITC,SITE Centers Corp.,8.06,+0.12,+1.51%,"810,160",3.317M,1.557B,35.04
192,TWO,Two Harbors Investment Corp.,5.65,+0.15,+2.73%,2.452M,8.49M,1.546B,N/A
193,SRG-PA,Seritage Growth Properties,15.55,+0.06,+0.39%,"11,057","10,130",1.509B,N/A
194,RPAI,"Retail Properties of America, Inc.",6.83,+0.06,+0.89%,"918,968",3.831M,1.463B,683.00
195,LTC,"LTC Properties, Inc.",37.24,-0.16,-0.43%,"187,383","322,530",1.461B,14.02
196,MNR,Monmouth Real Estate Investment Corporation,14.51,-0.16,-1.09%,"237,446","525,342",1.422B,N/A
197,ROIC,Retail Opportunity Investments Corp.,11.95,+0.02,+0.17%,"688,627",1.605M,1.409B,31.12
198,ABR-PC,"Arbor Realty Trust, Inc.",25.69,-0.10,-0.40%,"8,907","4,949",1.397B,49.40
199,ABR-PA,"Arbor Realty Trust, Inc.",25.45,+0.25,+0.99%,"7,376","4,641",1.393B,48.94
200,ARI,"Apollo Commercial Real Estate Finance, Inc.",9.43,+0.18,+1.95%,1.137M,1.484M,1.392B,89.81
201,ILPT,Industrial Logistics Properties Trust,21.33,-0.01,-0.05%,"198,609","325,869",1.391B,27.70
202,CXP,"Columbia Property Trust, Inc.",12.07,-0.08,-0.66%,"393,916",1.15M,1.382B,N/A
203,SVC,Service Properties Trust,8.40,+0.05,+0.60%,1.506M,2.965M,1.383B,N/A
204,ABR-PB,"Arbor Realty Trust, Inc.",25.18,+0.02,+0.08%,528,"4,765",1.38B,48.42
205,GEO,"The GEO Group, Inc.",11.16,+0.15,+1.36%,1.212M,2.049M,1.354B,9.13
206,MNR-PC,Monmouth Real Estate Investment Corporation,25.00,+0.13,+0.51%,"56,959","41,057",1.343B,N/A
207,ALX,"Alexander's, Inc.",259.10,-0.35,-0.13%,"3,950","14,203",1.323B,27.74
208,BRMK,Broadmark Realty Capital Inc.,9.98,+0.14,+1.42%,"373,023",1.227M,1.32B,N/A
209,JOE,The St. Joe Company,22.08,-0.24,-1.08%,"108,861","168,166",1.3B,40.89
210,UE,Urban Edge Properties,10.92,+0.12,+1.11%,"666,254",1.015M,1.274B,9.53
211,ABR,"Arbor Realty Trust, Inc.",11.33,+0.18,+1.61%,1.087M,2.246M,1.271B,21.79
212,GTY,Getty Realty Corp.,29.80,-0.22,-0.73%,"93,585","200,963",1.249B,25.58
213,RLGY,Realogy Holdings Corp.,10.37,-0.03,-0.29%,1.571M,2.386M,1.197B,N/A
214,MAC,The Macerich Company,8.00,+0.10,+1.27%,4.823M,6.749M,1.196B,20.89
215,CLI,Mack-Cali Realty Corporation,13.16,-0.08,-0.60%,"368,948","724,574",1.194B,N/A
216,OPI,Office Properties Income Trust,24.63,-0.03,-0.12%,"160,660","230,060",1.188B,16.18
217,CXW,"CoreCivic, Inc.",9.87,+0.19,+1.96%,15.606M,2.154M,1.181B,8.10
218,NYMTN,"New York Mortgage Trust, Inc.",21.27,+0.17,+0.81%,"16,072","26,615",1.126B,N/A
219,NYMTP,"New York Mortgage Trust, Inc.",21.29,+0.22,+1.04%,"5,768","10,585",1.124B,N/A
220,AKR,Acadia Realty Trust,12.99,+0.08,+0.62%,"476,885","793,101",1.121B,27.23
221,AHH-PA,"Armada Hoffler Properties, Inc.",24.65,-0.07,-0.28%,"398,982","41,967",1.114B,60.57
222,NYMTO,"New York Mortgage Trust, Inc.",21.25,+0.21,+1.00%,"4,093","17,995",1.11B,N/A
223,IRT,"Independence Realty Trust, Inc.",11.68,+0.07,+0.60%,"370,202","751,163",1.107B,36.73
224,RMAX,"RE/MAX Holdings, Inc.",35.56,-0.18,-0.50%,"77,679","111,526",1.091B,35.28
225,DRH,DiamondRock Hospitality Company,5.45,+0.07,+1.30%,1.273M,3.548M,1.087B,29.46
226,IIPR-PA,"Innovative Industrial Properties, Inc.",29.70,-0.15,-0.51%,757,"1,496",1.082B,10.59
227,MMI,"Marcus & Millichap, Inc.",27.46,+0.07,+0.26%,"88,765","123,788",1.08B,20.40
228,DNK,Phoenix Tree Holdings Limited,5.90,-0.50,-7.81%,"15,478","8,700",1.079B,N/A
229,CHCT,Community Healthcare Trust Incorporated,47.21,+0.02,+0.05%,"90,483","199,457",1.073B,80.70
230,INN-PE,"Summit Hotel Properties, Inc.",22.06,+0.13,+0.57%,"40,248","11,527",1.06B,N/A
231,AFINP,"American Finance Trust, Inc.",23.67,-0.18,-0.75%,"30,840","37,926",1.057B,N/A
232,XHR,"Xenia Hotels & Resorts, Inc.",9.18,+0.07,+0.77%,"379,345",1.041M,1.044B,N/A
233,INN-PD,"Summit Hotel Properties, Inc.",21.66,-0.24,-1.08%,"5,512","3,995",1.013B,N/A
234,NXRT,"NexPoint Residential Trust, Inc.",41.31,-0.36,-0.86%,"101,495","197,874",1.004B,8.46
235,KREF,KKR Real Estate Finance Trust Inc.,17.89,+0.19,+1.07%,"109,629","336,892",992.741M,24.51
236,UHT,Universal Health Realty Income Trust,71.87,-0.47,-0.65%,"31,556","48,923",989.628M,50.26
237,STAR,iStar Inc.,12.81,+0.25,+1.99%,"317,483","648,152",962.581M,N/A
238,LADR,Ladder Capital Corp,8.05,+0.14,+1.77%,"390,671",1.316M,969.18M,17.85
239,KRG,Kite Realty Group Trust,11.49,+0.22,+1.95%,"459,997","626,187",967.637M,N/A
240,ALEX,"Alexander & Baldwin, Inc.",12.97,+0.14,+1.09%,"224,876","367,485",938.356M,N/A
241,IRET,Investors Real Estate Trust,71.23,+0.15,+0.21%,"41,330","92,431",913.646M,13.56
242,FOR,Forestar Group Inc.,18.21,+0.09,+0.50%,"97,428","132,987",875.171M,17.23
243,RWT,"Redwood Trust, Inc.",7.21,+0.09,+1.26%,1.623M,3.46M,828.753M,N/A
244,AHH,"Armada Hoffler Properties, Inc.",10.45,-0.02,-0.19%,"157,056","406,622",819.8M,21.86
245,CLNC,"Colony Credit Real Estate, Inc.",6.32,+0.11,+1.77%,"387,654","591,977",812.645M,N/A
246,FPH,"Five Point Holdings, LLC",5.45,+0.38,+7.50%,"236,249","162,211",808.311M,N/A
247,AFIN,"American Finance Trust, Inc.",7.45,-0.08,-1.06%,"239,654","471,328",808.534M,N/A
248,IRET-PC,Investors Real Estate Trust,25.80,+0.09,+0.35%,"5,402","2,417",787.8M,4.91
249,STAR-PD,iStar Inc.,25.23,-0.02,-0.09%,"5,910","6,097",758.57M,N/A
250,STAR-PG,iStar Inc.,24.27,+0.07,+0.27%,"1,380","6,167",737.254M,N/A
251,STAR-PI,iStar Inc.,23.97,0.00,0.00%,"53,335","16,661",723.223M,N/A
252,BFS,"Saul Centers, Inc.",30.96,-0.06,-0.19%,"42,396","53,976",718.272M,22.92
253,SRG,Seritage Growth Properties,12.72,+0.49,+4.01%,"777,170",1.494M,711.039M,N/A
254,TRTX,"TPG RE Finance Trust, Inc.",8.97,+0.15,+1.70%,"314,100",1.041M,688.504M,N/A
